mp1_tc,rr_3,ffr,ygap,infl,lpcom
0.0,-0.2274091,6.57,1.626785866,4.131171835599368,4.651519239
0.0,0.6749188,8.33,1.138910676,5.07675705996089,4.697053859
0.0,0.4843627,8.98,1.028049591,5.5826036702587345,4.725658449
0.0,0.1658559,8.94,-0.212717655,5.125352264683514,4.737448925
0.0,-0.5745371,8.56,-1.101439588,5.597013911039284,4.758229955
0.0,-0.0259718,7.88,-1.693401842,5.537403189184964,4.745066006
0.0,-0.9256776,6.71,-1.508211859,3.2650376571197626,4.724161177
0.0,-0.5999238,5.57,-3.319857405,5.245179581982384,4.69235525
0.0,-0.8935021,3.86,-1.379094497,6.062019357011472,4.689267731
0.0,0.877007,4.57,-1.583875576,5.234129809943333,4.690258994
0.0,-0.1003367,5.48,-1.513918331,4.038921118197081,4.682247829
0.0,-1.527481,4.75,-2.032101909,3.3074440135147043,4.667104888
0.0,-0.1236863,3.55,-0.965418783,6.144915748251911,4.7215107
0.0,-0.3411304,4.3,0.524933557,2.441447382221895,4.771111104
0.0,-0.111762,4.74,0.716414832,3.7382699938801167,4.797092112
0.0,-0.05911,5.15,1.637777318,5.0462842484533255,4.845123681
0.0,0.5286473,6.54,3.355715395,4.625053977694904,4.957860703
0.0,0.5815276,7.82,3.726442425,6.048884437872104,5.085078039
0.0,-0.2387917,10.56,2.501938826,7.559016604411717,5.271682301
0.0,-1.189948,10.0,2.762095127,7.877030738572621,5.278433304
0.0,0.7318664,9.33,1.222870629,7.536486637169482,5.420292819
0.0,0.9913459,11.25,0.787876679,9.398713196618225,5.418767753
0.0,-0.6221972,12.1,-0.8370492,11.432340577956523,5.464275518
0.0,-0.3070521,9.34,-1.910905188,11.60956215541642,5.411663234
0.0,-0.6043138,6.31,-3.836527786,8.962109081363323,5.307538
0.0,-0.2432384,5.42,-3.846306282,5.942373315663829,5.269107679
0.0,-0.192966,6.16,-2.894481665,7.059269556257242,5.310388145
0.0,-0.2928912,5.41,-2.326110354,6.613380242320943,5.268699153
0.0,-0.8150342,4.83,-0.89364038,4.135491550555592,5.263740661
0.0,-0.1452676,5.2,-0.973201852,4.044399918915609,5.318938167
0.0,-0.205499,5.28,-1.252172589,5.125090936831178,5.340416256
0.0,-0.2118412,4.87,-1.367549523,7.028715625046544,5.288747288
0.0,-0.4797344,4.66,-1.037031253,6.383800822714214,5.360515916
0.0,-0.3274969,5.16,0.043765316,5.572344451737266,5.374904789
0.0,-0.2129834,5.82,0.993247792,4.89515601397148,5.308556655
0.0,-0.2208928,6.51,0.168978006,8.59427781649309,5.334003193
0.0,-0.1508405,6.76,-0.320650916,5.9167297847700695,5.400597438
0.0,-0.1444739,7.28,2.686394207,7.2507573633807,5.43189539
0.0,-0.4080551,8.09,2.932295183,6.63601836248624,5.463812961
0.0,0.2322706,9.58,3.546948682,8.321654963431158,5.526763713
0.0,-0.0999674,10.07,3.042507923,7.086183807469837,5.586349922
0.0,-0.0272534,10.18,2.501991884,9.561568046886393,5.624579604
0.0,0.8895471,10.94,2.629703872,8.45506445605384,5.636937802
0.0,0.0993315,13.58,2.298754991,7.899139452696602,5.647469762
0.0,1.813551,15.07,2.058861786,8.231771445291436,5.665333835
0.0,-4.058774,12.67,-0.556605422,8.687263754816499,5.581666988
0.0,1.164973,9.82,-1.196176539,9.101151010052355,5.653375018
0.0,2.474537,15.85,0.13644917,10.901680765858934,5.684162642
0.0,-0.4291963,16.6,1.560805161,9.867298566197569,5.623056277
0.0,1.525954,17.79,0.293202447,7.431178176750208,5.603291659
0.0,-0.7218544,17.59,0.944616309,7.132224368504758,5.60235794
0.0,-0.8630374,13.59,-0.712919867,7.4246380625091035,5.540255535
0.0,0.612453,14.21,-2.872052068,5.560513346776119,5.524663796
0.0,-0.0891476,14.51,-3.049604476,4.78915787719103,5.499464073
0.0,-0.4359074,11.01,-4.110789726,5.720093207684762,5.477171017
0.0,0.4530183,9.28,-4.798684475,4.4142607199727735,5.434966745
0.0,0.3403285,8.66,-4.268596198,3.218539046274671,5.470296453
0.0,-0.0370014,8.8,-2.84764063,2.6975199245319104,5.516016914
0.0,-0.1983932,9.46,-1.743410961,4.168572016878436,5.57014984
